time,memory usage
1480450310.711829,38391808
1480450314.013018,38391808
1480450317.321207,38391808
1480450320.645398,38391808
1480450323.897584,38391808
1480450327.307779,38391808
1480450330.47496,38391808
1480450333.932158,38391808
1480450337.257348,38391808
1480450340.483532,38391808
1480450343.855725,38391808
1480450347.292922,38391808
1480450350.474104,38391808
1480450353.983304,38391808
1480450357.487505,38391808
1480450360.922701,38391808
1480450364.188888,38391808
1480450367.387071,38391808
1480450370.581254,38391808
1480450374.057453,38391808
1480450377.33864,38391808
1480450380.522822,38391808
1480450383.701004,38391808
1480450386.931189,38391808
1480450390.242378,38391808
1480450393.41856,38391808
1480450396.829755,38391808
1480450400.034938,38391808
1480450403.38713,38391808
1480450406.662317,38391808
1480450409.908503,38391808
1480450413.268695,38391808
1480450416.49888,38391808
1480450419.754066,38391808
1480450423.007252,38391808
1480450426.413447,38391808
1480450429.624631,38391808
1480450432.849815,38391808
1480450436.179006,38391808
1480450439.5712,38391808
1480450442.814385,38391808
1480450446.175577,38391808
1480450449.592773,38391808
1480450452.709951,38391808
1480450455.868132,38391808
1480450459.185322,38391808
1480450462.343502,38391808
1480450465.751697,38391808
1480450468.813872,38391808
1480450471.92205,38391808
1480450475.052229,38391808
1480450478.158407,38391808
1480450481.418593,38391808
1480450484.814788,38391808
1480450487.948967,38391808
1480450491.176151,38391808
1480450494.638349,38391808
1480450498.043544,38391808
1480450501.177723,38391808
1480450504.523915,38391808
1480450507.788102,38391808
1480450511.025287,38391808
1480450514.380479,38391808
1480450517.587662,38391808
1480450520.843848,38391808
1480450524.038031,38391808
1480450527.126208,38391808
1480450530.260387,38391808
1480450533.64258,38391808
1480450536.809761,38391808
1480450539.918939,38391808
1480450542.983115,38391808
1480450546.309305,38391808
1480450549.582492,38391808
1480450552.820677,38391808
1480450556.053862,38391808
1480450559.217043,38391808
1480450562.458228,38391808
1480450565.551405,38391808
1480450568.891596,38391808
1480450572.238788,38391808
1480450575.471973,38391808
1480450578.654155,38391808
1480450582.06435,38391808
1480450585.428542,38391808
1480450588.872739,38391808
1480450592.364939,38391808
1480450595.635126,38391808
1480450598.861311,38391808
1480450602.1715,38391808
1480450605.342681,38391808
1480450608.738876,38391808
1480450612.255077,38391808
1480450615.488262,38391808
1480450618.816452,38391808
1480450622.180644,38391808
1480450625.500834,38391808
1480450628.836025,38391808
1480450632.192217,38391808
1480450635.466404,38391808
1480450638.743592,38391808
1480450642.002778,38391808
1480450645.236963,38391808
1480450648.457147,38391808
1480450651.700333,38391808
1480450655.097527,38391808
1480450658.426718,38391808
1480450661.899916,38391808
1480450665.074098,38391808
1480450668.25928,38391808
1480450671.429461,38391808
1480450674.580642,38391808
1480450677.658818,38391808
1480450680.981008,38391808
1480450684.129188,38391808
1480450687.452378,38391808
1480450690.693563,38391808
1480450694.059756,38391808
1480450697.345944,38391808
1480450700.43012,38391808
1480450703.633303,38391808
1480450706.867488,38391808
1480450710.04867,38391808
1480450713.181849,38391808
1480450716.253025,38391808
1480450719.534213,38391808
1480450722.755397,38391808
1480450726.017584,38391808
1480450729.246768,38391808
1480450732.410949,38391808
1480450735.57113,38391808
1480450738.730311,38391808
1480450742.079502,38391808
1480450745.18568,38391808
1480450748.528871,38391808
1480450751.691052,38391808
1480450755.064245,38391808
1480450758.240427,38391808
1480450761.500613,38391808
1480450764.653793,38391808
